Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),4N76 Temp (ºC),App message,TargetRPM,Change,Integral,P,I,D,kp,ki,kd,Mark,
0,1000,,-0.015477689566444741,0.18919180072663458,30.003967951690267,-1.241019316415195,0,37.23550379715007,0,0,0,0,23.875,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.04309000000000014,1000,,-0.015498697737658551,0.19008147868483308,30.004531643791903,-1.24282554624823,0,37.290398430117975,0,0,0,0,23.875,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0,1000,,-0.015479243051616076,0.19167175948187606,30.005274562845845,-1.2436986841046043,0,37.31752049000873,0,0,0,0,23.875,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.03354499999999826,1000,,-0.015466908437537397,0.19233172651608135,30.007392989554056,-1.2415011848372686,0,37.254213950408904,0,0,0,0,23.875,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.05966500000000087,1000,,-0.015507618014866942,0.19223897375512972,30.008030606015176,-1.2419963368031703,0,37.26986408734827,0,0,0,0,23.875,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.08968999999999869,1000,,-0.015528526527509856,0.19221754849587913,30.006662321474945,-1.2418929506916898,0,37.26506241082567,0,0,0,0,23.875,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.11457500000000073,1000,,-0.015520101795311048,0.19215119191723198,30.008833808038858,-1.2410828611563856,0,37.24344932244734,0,0,0,0,23.875,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.14668500000000131,1000,,-0.015558787336699964,0.19213949566367755,30.007912355229188,-1.2419711467812409,0,37.26896132033496,0,0,0,0,23.9375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.17498999999999795,1000,,-0.015557287045706913,0.19263330066987785,30.00623847343542,-1.241382158844026,0,37.24920909494193,0,0,0,0,23.9375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.2033199999999997,1000,,-0.015564433267758915,0.19284580662810946,30.003605351984316,-1.2410323409685795,0,37.2354445874705,0,0,0,0,23.9375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.23277499999999782,1000,,-0.015540031732232673,0.1931507768522215,30.003987039847956,-1.239863866336824,0,37.200859376745846,0,0,0,0,23.9375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.25845500000000177,1000,,-0.015545199035224999,0.19333734029515046,30.00184396861719,-1.2406689098440458,0,37.22235504985545,0,0,0,0,23.9375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.28341500000000086,1000,,-0.015575291725446805,0.19362306783247993,30.005254834828605,-1.2402708849217996,0,37.21464396629698,0,0,0,0,23.9375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.31976000000000204,1000,,-0.015585273257171461,0.19300185372358558,30.009254680537687,-1.2408315749224164,0,37.236430747499476,0,0,0,0,23.9375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.34589500000000045,1000,,-0.015612415700033522,0.19195933398506274,30.005791374634228,-1.2414381792979614,0,37.25033501252039,0,0,0,0,23.9375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.3750950000000012,1000,,-0.01564135073707018,0.19090374061674145,30.007095924165895,-1.2408687729408103,0,37.234868298936924,0,0,0,0,23.9375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
