Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),4N76 Temp (ºC),App message,TargetRPM,Change,Integral,P,I,D,kp,ki,kd,Mark,Step,
0,1000,,0.10826556052383807,-2.5066960253732713,29.95406349554314,-0.016475670816129107,1001,0.4935132897579983,11.350025744640329,2299.8419657971085,0.220853774411655,5.079287786966118,-3.375,,1000,1001,-1,-0.0025000000000000005,-0.000025,-10.01,0.10000000000000002,0.001,0.01,0,0.025,
0.029549999999813736,1189.9974499999998,,0.10822771335653075,-2.5153902600839015,29.95437187744203,-0.01767387319942393,1000,0.5294097703303005,11.335042930625562,2141.0717304203877,0.22191272459036743,4.751310612410008,-3.375,,1050,0,49,0.12500000000000003,0.001225,0,0.10000000000000002,0.001,0.01,0,0.07500000000000001,
0,1189.987475,,0.10823098454755153,-2.509837487911169,29.956106154644285,-0.017822171917415308,1000,0.5338828738644132,11.338579641413048,2123.795348470502,0.22135378215664986,4.701101329106459,-3.375,,1000,-1,-1,0,-0.000025,0.01,0.10000000000000002,0.001,0.01,0,0.07500000000000001,
0.08906499999994412,1190.1236749999998,,0.10815546993151248,-2.523998579007287,29.954289870431026,-0.017221672127551102,1002,0.5158629589621884,11.350846839852014,2200.3608986944164,0.2223621386684303,4.892769552760796,-3.375,,1000,2,47,-0.005000000000000001,0.001175,-0.02,0.10000000000000002,0.001,0.01,0,0.125,
0.12148999999975786,1190.0998499999998,,0.10812007203274682,-2.52581654441918,29.9540294269754,-0.015976325908306555,1004,0.47855533639236403,11.362139751020628,2374.258290937726,0.22230113339279192,5.278003090426895,-3.375,,1000,2,43,-0.010000000000000002,0.001075,-0.02,0.10000000000000002,0.001,0.01,0,0.15,
0.14728500000014902,1190.0709249999998,,0.10808421203272928,-2.5239037462062113,29.951691562440068,-0.01658835935270131,1004,0.4968494228590276,11.363145720957979,2287.0401369434767,0.2221131197456325,5.079816197999943,-3.375,,1000,0,39,-0.010000000000000002,0.0009750000000000001,0,0.10000000000000002,0.001,0.01,0,0.15,
0.1765,1190.0618999999997,,0.10795107662518527,-2.523415204762185,29.949684431029993,0.008547435140070614,1005,0.25599298513981156,11.356954609997016,4436.431960740788,0.22219118517396694,9.857360753006617,-3.375,,1000,1,34,-0.012500000000000002,0.0008500000000000001,-0.01,0.10000000000000002,0.001,0.01,0,0.175,
0.21421999999973923,1190.0402499999996,,0.10574700204005405,-2.522871829367415,29.942281855464568,0.1158741311075493,1011,3.469535893379296,11.196635866131478,322.7127837904008,0.22532409373058282,0.7271496554284559,-3.375,,1000,6,23,-0.027500000000000004,0.000575,-0.06,0.10000000000000002,0.001,0.01,0,0.22499999999999998,
0.250089999999851,1189.9533249999997,,0.09796848288131865,-2.5204224513476587,29.93457643189327,0.3012594049280506,1019,9.018072682645414,10.457952663976936,115.96660430673242,0.24100534132549764,0.2794857105330297,-3.375,,1000,8,4,-0.04750000000000001,0.0001,-0.08,0.10000000000000002,0.001,0.01,0,0.24999999999999997,
0.2795800000000745,1189.8259249999999,,0.08663239911294307,-2.517098879911067,29.928098992186648,0.5164535499711953,1090,15.456472968404146,9.885480870450849,63.95689942109417,0.25462584095782786,0.16285079300151314,-3.375,,1000,71,-86,-0.22500000000000003,-0.00215,-0.71,0.10000000000000002,0.001,0.01,0,0.27499999999999997,
