Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),4N76 Temp (ºC),App message,
0.07537299999967217,1334,,-0.21867231295922288,-1.8640961434746806,29.837141746374463,6.279983446530153,2510,187.37675663695478,57.45737543934335,30.66509953027358,0.03269346670465315,0.009948364629625504,3.1875,,
400.1308600000013,1779.5735749999226,,-2.124001043544107,39.79359391135538,29.21131391059452,48.45986464054103,4540,1415.5763180797635,1009.8888715498103,71.34118158459515,0.03940393347466713,0.02811123173163535,3.0625,,3500,-156,-1000,-2.6000000000000005,-0.025,1.56,0.10000000000000002,0.001,0.01,0,
0,1334,,-0.21653844546656603,-1.7444360682378803,29.836886356263243,6.248682020442485,2666,186.4412153203678,60.453406507561155,32.4249154907525,0.028855877096350173,0.009356493762606949,3.1875,,
0.03670000000111759,1334,,-0.21709661125566543,-1.739353771248892,29.83693847489313,6.248938920606874,2662,186.4492061075124,60.52047366227564,32.45949657054461,0.02873992330190712,0.009328834418559695,3.1875,,
0.07796000000089406,1334,,-0.2180397533543758,-1.67226676891977,29.8371019228704,6.2735915987991415,2662,187.18579195583345,60.783088023505904,32.47206285712523,0.02751204032728766,0.008933727028354491,3.1875,,
0.12504500000178814,1334,,-0.21954300638183838,-1.6319581785669663,29.837165000214082,6.292860291493875,2659,187.76111084059804,61.12492537849671,32.55462491931539,0.026698734901704713,0.008691673005452316,3.1875,,
0.16926000000163913,1334,,-0.22102022705598384,-1.613886306058075,29.83714826099099,6.306352232563355,2652,188.16356654902435,61.38081951430116,32.62099068382025,0.026293006819207664,0.008577039304989957,3.1875,,
0.21019999999925496,1334,,-0.22206817191918987,-1.6523854829686633,29.83692336288012,6.315184578084411,2654,188.425678278747,61.72431826087368,32.7579122042814,0.026770412853892808,0.00876942833940187,3.1875,,
0.247625,1334,,-0.2223289743893056,-1.6979318757069635,29.837213930943218,6.296332974099145,2657,187.86503392864816,61.858593233603145,32.927145589581755,0.02744860151110912,0.009038040981867038,3.1875,,
0.2866900000013411,1334,,-0.22235665046608627,-1.7546711491868192,29.83700466090053,6.282850936093947,2662,187.46145266397835,61.98068549467786,33.06316291369898,0.028309966809539223,0.009360170447052063,3.1875,,
0.330804999999702,1334,,-0.2218641152953738,-1.8162276788799885,29.83737756431354,6.276511267708816,2662,187.27463648129617,61.8533896682172,33.028172330423786,0.02936343001769619,0.009698204268368088,3.1875,,
0.3722000000011176,1334,,-0.22119094478176454,-1.86570031377966,29.837530388611974,6.268575909343042,2665,187.03882418834397,61.73991608284034,33.00914467932583,0.030218705047741434,0.009974936069427709,3.1875,,
0.41646000000089406,1334,,-0.2202816953112668,-1.9255073663620104,29.837565025413127,6.264857027533291,2668,186.92807893394098,61.53444068213534,32.91877872659311,0.03129153925861592,0.010300792568688787,3.1875,,
0.454445000000298,1334,,-0.2194215929385775,-1.9501302221850525,29.83750707143847,6.269066061297838,2672,187.05330293528917,61.39531135413158,32.82236153582982,0.03176350407177826,0.010425532142887085,3.1875,,
0.4968499999996275,1334,,-0.21845143136570483,-1.9416354297379392,29.837233076001784,6.2596498461169885,2673,186.7706314327513,61.155298060642565,32.74353017469032,0.031749259529609074,0.010395828374318291,3.1875,,
0.5416100000012666,1334,,-0.21750961297450183,-1.9128291017778214,29.837693819586462,6.25701194670717,2671,186.6948066913432,60.83399687102346,32.58472902869679,0.03144342308846294,0.010245754210722333,3.1875,,
0.5852250000014901,1334,,-0.21659974781587704,-1.9081670680167098,29.83743772282296,6.258346519172489,2671,186.73302451365498,60.58475879209742,32.44458710498052,0.03149582677327764,0.010218690951889839,3.1875,,
0.6305300000011921,1334,,-0.21600779816350918,-1.9095024005189698,29.83693284620129,6.25955248239981,2673,186.76584706463572,60.45567298944074,32.36976885207407,0.03158516490011592,0.010224044869713955,3.1875,,
0.6860900000017136,1334,,-0.21581181492646345,-1.9199282721828013,29.836855226862028,6.262034102107692,2444,186.83940493026014,55.225592131997644,29.557786352729607,0.03476519124672992,0.010275820953826285,3.1875,,
0.729300000000745,1334,,-0.2153844961320623,-1.8941335836794189,29.836755679853866,6.274997492412541,2542,187.22556707280864,57.32776781495323,30.61962568000101,0.0330404210014498,0.010116853233740371,3.1875,,
0.766890000000596,1334,,-0.2151575967270088,-1.8577037352505072,29.837115119043276,6.273777839931068,2626,187.19143164132592,59.175852179020985,31.61247908633273,0.0313929359163348,0.009924085301137179,3.1875,,
0.7948900000024587,1334,,-0.2154205960565117,-1.8412804680006394,29.83709415667877,6.2768723264275,2663,187.28363061306865,60.06951099709183,32.07408506576665,0.030652496373572643,0.009831507761640728,3.1875,,
0.8317000000011175,1334,,-0.215624953356034,-1.8262325872560494,29.83683171149535,6.267936756017743,2666,187.01537416759749,60.19066350044456,32.184874515452144,0.03034079508431671,0.009765146824877806,3.1875,,
0.8674050000011921,1334,,-0.215943251570965,-1.8317875401128925,29.836907784982138,6.268423440505849,2666,187.0303721515935,60.2936528205703,32.237359166296564,0.03038110073649318,0.009794064563097678,3.1875,,
0.9148200000002981,1334,,-0.21611893252269537,-1.8437643956820504,29.8375441474129,6.26248452750029,2667,186.85715856178012,60.37040862567072,32.3083199436058,0.030540863274827072,0.009867239820370334,3.1875,,
0.9535550000015646,1334,,-0.21649286269860762,-1.837164356130457,29.837145679796482,6.283695476518535,2668,187.48753734036168,60.47752321350993,32.25682307817616,0.030377638807140454,0.009798861205346678,3.1875,,
