Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),4N76 Temp (ºC),App message,TargetRPM,Change,Integral,P,I,D,kp,ki,kd,Mark,
0,1150,,0.012272933569083322,-2.5568763637929095,48.491237891528705,1.1182583614341248,2021,54.225732228493236,2.597828250791964,4.790766567882175,0.9842361068378673,0.04715245435541364,0,,3500,2021,0,3.6975000000000007,0,-20.21,0.10000000000000002,0,0.01,0,
0,1133.6975,,0.013829641966703665,-2.601673289731586,48.49204337769214,1.1051906889547993,2024,53.59295482941759,2.9306257880161346,5.468304177935513,0.8877534963250184,0.04854506152930958,0,,3500,3,0,3.690000000000001,0,-0.03,0.10000000000000002,0,0.01,0,
0.047794999999925494,1137.3575,,0.014951527227548916,-2.612465528116811,48.49235738667114,1.0983618990945168,2024,53.26215775079413,3.1682818538810413,5.948466956042168,0.8245685354403133,0.049049186860587894,0,,3500,0,0,3.690000000000001,0,0,0.10000000000000002,0,0.01,0,
0.07540999999828636,1141.0475000000001,,0.016988472813540073,-2.604086607166015,48.49316223114764,1.0614785367513924,2022,51.47445088756648,3.5965341375403583,6.987027691458272,0.7240544667669774,0.050589886094249234,0,,3500,-2,0,3.6950000000000007,0,0.02,0.10000000000000002,0,0.01,0,
0.1170949999988079,1144.7625,,0.020357195395964395,-2.5821942400680107,48.49367991495369,1.0128151773363072,2014,49.11513502275394,4.293116861370105,8.740924481590453,0.6014730843464459,0.05257430807981568,0,,3500,-8,0,3.7150000000000007,0,0.08,0.10000000000000002,0,0.01,0,
0.14712999999895693,1148.5575,,0.025110066706264728,-2.571790441043045,48.49405541752324,0.9741827639097743,2003,47.242072939836554,5.268233001377147,11.151570355700343,0.48816945650861765,0.05443856039759848,0,,3500,-11,0,3.7425000000000006,0,0.11,0.10000000000000002,0,0.01,0,
0.18835499999858438,1152.4099999999999,,0.03038587794413164,-2.54687350605684,48.49464154237272,0.9395338080776979,1996,45.56235523966837,6.35067741913311,13.938430938714866,0.40103965891633925,0.055898635894911605,0,,3500,-7,0,3.7600000000000007,0,0.07,0.10000000000000002,0,0.01,0,
0.214,1156.2399999999998,,0.033480037790869,-2.5530385397953332,48.49495639810796,0.9241038439137531,1981,44.81437561792142,6.947073199933022,15.501885509155377,0.36749843658189,0.056969186886860576,0,,3500,-15,0,3.7975000000000008,0,0.15,0.10000000000000002,0,0.01,0,
0.2765649999994785,1160.1874999999998,,0.039663820283802886,-2.587350037164686,48.49411668632008,0.9172330728146155,1966,44.48040766162389,8.166484500756788,18.359733936976795,0.3168254390153948,0.05816830764788514,0,,3500,-15,0,3.835000000000001,0,0.15,0.10000000000000002,0,0.01,0,
0.307785000000149,1164.1725,,0.041039876709794254,-2.6400102516886617,48.49106024016404,0.9406897388391836,1962,45.61504279335503,8.432681657467867,18.486624457790267,0.3130688859042491,0.057875869231306415,0,,3500,-4,0,3.8450000000000006,0,0.04,0.10000000000000002,0,0.01,0,
0.3361949999984354,1168.0575,,0.040303458664016245,-2.6826324535121318,48.490598505104764,0.9737033222766885,1960,47.21545686360554,8.27128575576598,17.518173719381345,0.3243307670324468,0.05681682719414602,0,,3500,-2,0,3.8500000000000005,0,0.02,0.10000000000000002,0,0.01,0,
0.3632599999997765,1171.9274999999998,,0.038340404655460625,-2.715204842665971,48.49071773464755,1.0003175916231566,1961,48.50611798040093,7.874931822703126,16.234924893154755,0.3447909015336666,0.05597654390242195,0,,3500,1,0,3.8475000000000006,0,-0.01,0.10000000000000002,0,0.01,0,
0.39634999999962744,1175.7649999999999,,0.034681922854666786,-2.757613758319511,48.49062085379412,1.0414025036542967,1966,50.49825396089244,7.141740493236416,14.142549361740747,0.3861262896532167,0.054608101112864224,0,,3500,5,0,3.835000000000001,0,-0.05,0.10000000000000002,0,0.01,0,
0.4590299999993295,1179.55,,0.023625007808448922,-2.802759918797262,48.489933426209554,1.1364068989978882,1990,55.10429487749284,4.922813071000608,8.933628643547554,0.5693411223163862,0.050862821582751794,0,,3500,24,0,3.775000000000001,0,-0.24,0.10000000000000002,0,0.01,0,
0.5254000000003726,1183.085,,0.010657036048415558,-2.7913192775611075,48.48900347569082,1.2411484337673144,2010,60.18205071879153,2.2433775247088144,3.727652178539558,1.2442485702104087,0.0463812589338956,0,,3500,20,0,3.7250000000000005,0,-0.2,0.10000000000000002,0,0.01,0,
