Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),4N76 Temp (ºC),App message,targetThrust,Change,Integral,P,I,D,kp,ki,kd,Mark,
0,,,-0.028207122637587345,0.29932426214698843,30.009843864068106,-1.2232646827629061,0,36.709982134143615,0,0,0,0,23.875,,1,0,0,0,0,0,10,0.10000000000000002,1,0,
0,1000,,-0.02830996918647527,0.3001009163200573,30.00857487330437,-1.229086849546982,0,36.88314475042439,0,0,0,0,23.875,,1,0,0,0,0,0,10,0.10000000000000002,1,0,
0.13851999999955297,1000,,-0.028380532958928673,0.2995663575735575,29.99886727511348,-1.2270650099915452,0,36.81056037267216,0,0,0,0,23.875,,1,0,0,0,0,0,10,0.10000000000000002,1,0,
0.23303499999828636,1000,,-0.028322538091743288,0.29736047720489933,30.005099685397866,-1.22671181077786,0,36.80761016764462,0,0,0,0,23.875,,1,0,0,0,0,0,10,0.10000000000000002,1,0,
0.30757999999821184,1000,,-0.028279894517187598,0.29926720083218933,30.00931294793618,-1.2241979076198204,0,36.73733811997186,0,0,0,0,23.875,,0,0,0,0,0,0,10,0.10000000000000002,1,0,
0.337035000000149,1000,,-0.028320632512450927,0.2991513277134777,30.007757335742063,-1.225238733621051,0,36.76666659685241,0,0,0,0,23.875,,0,0,0,0,0,0,10,0.10000000000000002,1,0,
0.3757999999988824,1000,,-0.02835629098308695,0.2997624434187238,30.01005635872726,-1.226643150731424,0,36.81163008549681,0,0,0,0,23.875,,0,0,0,0,0,0,10,0.10000000000000002,1,0,
0.4114199999999255,1000,,-0.028404110123217474,0.30016723881535806,30.007088908213507,-1.2261329835800154,0,36.792681451578616,0,0,0,0,23.875,,-1,0,0,0,0,0,10,0.10000000000000002,1,0,
0.477339999999851,1000,,-0.0284545230591432,0.2999961009402661,30.006349365194925,-1.2280122552967028,0,36.848164757173805,0,0,0,0,23.875,,-1,0,0,0,0,0,10,0.10000000000000002,1,0,
0.5693249999992549,1000,,-0.02833586216453915,0.298338659838625,30.007967431105676,-1.2264628846552679,0,36.803658298195195,0,0,0,0,23.875,,-1,0,0,0,0,0,10,0.10000000000000002,1,0,
0.6687799999993295,1000,,-0.028474539903974916,0.2976608951451375,30.01090071843995,-1.2237815872911193,0,36.726787717248634,0,0,0,0,23.875,,-1,0,0,0,0,0,10,0.10000000000000002,1,0,
0.708269999999553,1000,,-0.028467297864875285,0.2978536713945786,30.009426487738203,-1.2187646652396171,0,36.57442862736115,0,0,0,0,23.875,,-1,0,0,0,0,0,10,0.10000000000000002,1,0,
