Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),4N76 Temp (ºC),App message,TargetRPM,Change,Integral,P,I,D,kp,ki,kd,Mark,
0,1000,,-0.012990406202302074,0.20543305154233588,0,-1.2759808178063816,0,0,0,0,0,0,23.75,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0,1000,,-0.01294621700625831,0.2044659291603194,0.0000034763233111804524,-1.2760520792609609,0,0,0,0,0,0,23.75,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.030860000000044237,1000,,-0.012900615591250553,0.20562294703345071,0.000018759176476475907,-1.2761710771241228,0,0,0,0,0,0,23.75,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.05784499999997206,1000,,-0.01289460336348397,0.20652902586132393,0,-1.2754670736939984,0,0,0,0,0,0,23.75,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.08778000000002793,1000,,-0.012879736536084652,0.2077149138968205,0,-1.2754469682901797,0,0,0,0,0,0,23.75,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.11261999999999535,1000,,-0.01292304666555244,0.20832455814766576,0,-1.2757101011203775,0,0,0,0,0,0,23.75,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.14380499999999302,1000,,-0.01294741304853908,0.2085345220777007,0.000013076236690513526,-1.2751355644353293,0,0,0,0,0,0,23.75,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.1751600000000326,1000,,-0.012950346827518444,0.2086587714621372,0,-1.2754912914213405,0,0,0,0,0,0,23.75,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.20249499999999535,1000,,-0.01298031652092757,0.2086241331603666,0,-1.2761109354734075,0,0,0,0,0,0,23.75,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.22855999999999768,1000,,-0.012993098919118373,0.20887269309631834,0,-1.276426061846886,0,0,0,0,0,0,23.75,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
