Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),4N76 Temp (ºC),App message,
85.26363499999792,1000,,0.04378098111333323,-11.041078134710848,29.971763909432312,0.23282105319121776,1554,6.978057639392561,7.126809545344768,102.13170933287327,1.5492315410509152,1.582256654399314,4.25,,
85.30176999999955,1000,,0.04304221311124887,-11.0264107036164,29.973774280590757,0.2330392648006933,1643,6.9850663216508,7.403769375949439,105.99426025492176,1.4892968896944339,1.5785692212311733,4.25,,
85.3368900000006,1000,,0.042650503025013664,-11.009675347598652,29.970649690843477,0.23480422200919676,2194,7.037235083768676,9.801037641445943,139.27398367083052,1.1233173211213583,1.5644887823901712,4.25,,
85.37217499999701,1000,,0.042559352285347185,-10.99231315863445,29.97185509993195,0.2335009841889218,2676,6.998457663801865,11.927007299255207,170.42336857941268,0.9216321314166444,1.5706765242704848,4.25,,
85.40876000000164,1000,,0.04287080511022173,-11.010314075951479,29.968981651895938,0.23425495756554132,2802,7.02038252514737,12.581442192687392,179.21305780162297,0.8751233687939936,1.5683353487522895,4.25,,
85.44505000000075,1000,,0.04318468541797038,-11.064383387271683,29.970027447035513,0.2320368657465019,2851,6.954151235146756,12.892269928075816,185.38955355065335,0.8582184090930721,1.5910472771071662,4.25,,
85.4752349999994,1000,,0.043574086631940206,-11.1121160378066,29.967967296152054,0.2322120234226886,1503,6.958922323704426,6.860375867534241,98.58388337179017,1.6197532398178238,1.596815644852796,4.25,,
85.51054499999806,1000,,0.044169456802903406,-11.151144387413739,29.97386823248342,0.23154343869300392,1106,6.940252521480202,5.114750966905582,73.69690009225657,2.180193025929504,1.606734676137612,4.25,,
85.55225499999895,1000,,0.044541393456200395,-11.159109160274294,29.974057084878602,0.22992536148204373,1303,6.891795910324126,6.0799275976056695,88.21978591237368,1.835401652590214,1.6191874085472555,4.25,,
85.5949600000009,1000,,0.04515731864069822,-11.191808336094223,29.971273385226247,0.2311863008669191,1359,6.9289478262016,6.425623884969851,92.73592536909506,1.7417465660062883,1.6152247955703676,4.25,,
85.62488499999792,1000,,0.04542164760115647,-11.187496402085785,29.9730209202704,0.23283888507019318,1427,6.978884773261336,6.7864445819166805,97.2425366287467,1.6485062637800434,1.6030493073834922,4.25,,
85.6624699999988,1000,,0.04571881267004904,-11.184220232185405,29.972832183733033,0.23243378135721876,1439,6.966698722450413,6.889707549205285,98.89486862698654,1.6233229280501875,1.605383077086984,4.25,,
85.70255999999866,1000,,0.045544838291093515,-11.19909283404838,29.971485795899042,0.23187741726973626,1319,6.949710718089656,6.289780041536295,90.50419933543992,1.780522174081142,1.6114473376421055,4.25,,
85.73656499999761,1000,,0.045651378399274606,-11.188910942891036,29.974983738922372,0.23167125454817222,1398,6.944342087857208,6.683351562993121,96.24168104678408,1.6741466968228906,1.6112269242115573,4.25,,
