Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),4N76 Temp (ºC),App message,TargetRPM,Change,Integral,P,I,D,kp,ki,kd,Mark,
0,,,-0.025264525679886574,-0.14760015809603164,30.00380954027862,-1.2269957807890455,0,36.81454771351998,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0,,,-0.025263290333693622,-0.14785841167513036,30.002150099629272,-1.2286621117399108,0,36.862505098148276,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.056279999986290935,,,-0.025276766306145615,-0.1452402357677836,30.007520855625398,-1.2285824611798337,0,36.86671382670944,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.08383499999344349,,,-0.025284952054953624,-0.14447400812743566,30.00904562855576,-1.2279951936280615,0,36.850963797231664,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.11810999998450279,,,-0.025256143383536045,-0.14374372647659314,30.010933914417013,-1.227371589178914,0,36.834567651281375,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.14619999998807906,,,-0.025242995838322013,-0.1445485535776527,30.00790237884774,-1.2278556386849557,0,36.84537214097589,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.17222999998927116,,,-0.02523487075720726,-0.1446764308159698,30.00754431350351,-1.2282754462167067,0,36.857529881536124,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.1986199999898672,,,-0.025267657691879775,-0.1446718105212831,30.007795279264833,-1.22641691187849,0,36.80206761867791,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.23197999998927116,,,-0.025383717374559966,-0.14478667496111386,30.0093394207284,-1.224820010805787,0,36.75603943357108,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.259669999986887,,,-0.025453290934235873,-0.14448409608025317,30.00696769100007,-1.2256012775559109,0,36.77657793766863,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.29001999999582767,,,-0.02549256306314812,-0.1439393243252319,30.00343517421049,-1.2262166653137438,0,36.790712227277474,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.3227799999862909,,,-0.0255246886317142,-0.14418725440928176,30.007222881781402,-1.225323211311798,0,36.76854670405325,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.3519149999916554,,,-0.025545586741878346,-0.1438187284452537,30.006255556014047,-1.2263656689301818,0,36.79864166704115,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.3833699999898672,,,-0.025538549462635285,-0.14351695453701677,30.00460397048878,-1.2256681705826606,0,36.77568805756622,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.4206499999910593,,,-0.02551869752237035,-0.14348637205836628,30.004153127165193,-1.2272858840944894,0,36.82367359717937,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.4489049999862909,,,-0.0254819449874939,-0.14293269190715663,30.00125474187098,-1.2271074632565626,0,36.81476360081122,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.4810999999791384,,,-0.025441803763010917,-0.14201087329660098,30.0043464932672,-1.2262039593411123,0,36.79144846748686,0,0,0,0,26.375,,2500,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
