Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),4N76 Temp (ºC),App message,TargetRPM,Change,Integral,P,I,D,kp,ki,kd,Mark,Step,
0,1000,,-0.34925211039161325,4.503818822115832,29.957043544171572,0.22347291146663567,0,6.694587739748804,0,0,0,0,2.0625,,1000,0,1000,2.5000000000000004,0.025,0,0.10000000000000002,0.001,0.01,0,0.05,
0,1207.5750000000003,,-0.34918873440955095,4.50253761517715,29.96026034604541,0.22636044784104542,0,6.781817949365153,0,0,0,0,2.0625,,1000,0,1000,2.5000000000000004,0.025,0,0.10000000000000002,0.001,0.01,0,0.125,
0.1159099999992177,1205.0500000000002,,-0.34919454324429017,4.50243012248068,29.961178894711505,0.22640991197114196,0,6.783507876103268,0,0,0,0,2.0625,,1000,0,1000,2.5000000000000004,0.025,0,0.10000000000000002,0.001,0.01,0,0.1,
0.075,1210.1000000000004,,-0.34908700673041987,4.503685770429094,29.961295622495378,0.22793841815717625,0,6.829330330131126,0,0,0,0,2.0625,,1000,0,1000,2.5000000000000004,0.025,0,0.10000000000000002,0.001,0.01,0,0.15,
0.16085999999940395,1212.6250000000005,,-0.3490831674944829,4.506075508566008,29.961263958746695,0.22618266984526197,0,6.776718674127951,0,0,0,0,2.0625,,1000,0,1000,2.5000000000000004,0.025,0,0.10000000000000002,0.001,0.01,0,0.175,
0.24402499999944122,1215.1500000000005,,-0.3507420965108266,4.50756516874618,29.960103357460454,0.27611944007352957,0,8.272566963607053,0,0,0,0,2.0625,,1000,0,1000,2.5000000000000004,0.025,0,0.10000000000000002,0.001,0.01,0,0.19999999999999998,
0.3060800000000745,1217.6750000000006,,-0.3467589647516746,4.509243250984342,29.937539222612894,0.9849667037631711,0,29.48747932687767,0,0,0,0,2.0625,,1000,0,1000,2.5000000000000004,0.025,0,0.10000000000000002,0.001,0.01,0,0.22499999999999998,
0.3716000000005588,1220.2000000000007,,-0.41023460554570074,4.54490170714468,29.922660666133847,1.438600145764683,1,43.046743995967304,0.037241641374432664,0.08651442110911228,0,0.10558061505349753,2.0625,,1000,1,1000,2.4975000000000005,0.025,-0.01,0.10000000000000002,0.001,0.01,0,0.24999999999999997,
0.4111749999998137,1222.7125000000008,,-0.44377440679080543,4.602784611799857,29.917987651459832,1.5573842826636997,1,46.593803737310196,0.056947216494864554,0.12222057854715093,0,0.0987853371609186,2.0625,,1000,0,1000,2.4975000000000005,0.025,0,0.10000000000000002,0.001,0.01,0,0.27499999999999997,
0.5215349999992177,1227.7575000000008,,-0.505592185398265,5.000586744901265,29.89594763601366,2.648330355592292,1,79.17434563365259,0.0784826458230839,0.09912635866449815,0,0.06315917997023261,2.0625,,1000,0,1000,2.4975000000000005,0.025,0,0.10000000000000002,0.001,0.01,0,0.325,
0.4434249999998137,1222.7125000000008,,-0.46520824790414067,4.683237922846246,29.913253532492163,1.7557545419640703,1,52.52033075459589,0.06951454761353028,0.1323574063886627,0,0.08917000056090527,2.0625,,1000,0,1000,2.4975000000000005,0.025,0,0.10000000000000002,0.001,0.01,0,0.3,
0.594910000000149,1226.202500000001,,-0.5528743637491149,5.613138187483187,29.87589059515543,3.857553062676061,802,115.24783326551675,46.40559417389986,40.265914645863326,0.12095822254637167,0.04870493464767543,2.0625,,1000,273,1000,0.4950000000000001,0.025,-2.73,0.10000000000000002,0.001,0.01,0,0.37500000000000006,
0.5530050000008195,1227.7575000000008,,-0.527410253595332,5.225180636009113,29.883961256614064,3.4086899493639207,529,101.86515838260117,29.219370772003643,28.684361989854214,0.1788259123298982,0.05129507202436734,2.0625,,1000,528,1000,1.1775000000000002,0.025,-5.28,0.10000000000000002,0.001,0.01,0,0.35000000000000003,
0.6258600000003353,1223.992500000001,,-0.5665249937475356,5.993783923378846,29.87051744742356,4.124765710594035,1162,123.20888612483357,68.92554550085256,55.942024693753126,0.08696026821151102,0.04864733471663745,2.0625,,1000,360,838,-0.4050000000000001,0.02095,-3.6,0.10000000000000002,0.001,0.01,0,0.37500000000000006,
0.6939900000002235,1220.0084500000012,,-0.5817221693960692,6.926308654397373,29.864616922561765,4.489423196739007,1519,134.0749039738731,92.52115104818695,69.0070612067836,0.0748618945606287,0.05165999340001086,2.0625,,1000,357,319,-1.2975000000000003,0.007975000000000001,-3.5700000000000003,0.10000000000000002,0.001,0.01,0,0.4250000000000001,
0.759335000000894,1215.1489250000013,,-0.5808908608034384,7.9906275107502,29.86090857715653,4.674738778546142,1677,139.59194728825472,102.00955669095254,73.07696373079798,0.07833214622193244,0.05724275408415721,2.0625,,1000,158,-358,-1.6925000000000003,-0.00895,-1.58,0.10000000000000002,0.001,0.01,0,0.4500000000000001,
0.8609599999999628,1209.3874750000014,,-0.5678925810640132,9.392102491866089,29.860099502599628,4.6702070542337735,1822,139.45284733716318,108.35075012330651,77.69705114829291,0.08668239473356286,0.0673496645727015,2.0625,,1000,84,-1000,-2.0550000000000006,-0.025,-0.84,0.10000000000000002,0.001,0.01,0,0.5000000000000001,
0.793105000000447,1215.1489250000013,,-0.5774257949671218,8.490109162791683,29.86022140638148,4.698275869467507,1738,140.29155769055922,105.108930898803,74.92177906431229,0.0807743841573825,0.060517605638952976,2.0625,,1000,61,-1000,-1.8450000000000004,-0.025,-0.61,0.10000000000000002,0.001,0.01,0,0.47500000000000014,
0.9262800000002608,1206.4674750000013,,-0.5557513195864512,10.179967222229175,29.86104460917883,4.600731177448579,1884,137.38263892463186,109.64119467444202,79.80716889169031,0.0928480144024022,0.07409937166670606,2.0625,,1000,62,-1000,-2.2100000000000004,-0.025,-0.62,0.10000000000000002,0.001,0.01,0,0.5250000000000001,
