Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),4N76 Temp (ºC),App message,TargetRPM,Change,Integral,P,I,D,kp,ki,kd,Mark,
19.02826999999583,,,-0.025655468554688143,-0.1518482024931812,30.009656595074915,-1.2287395189899426,0,36.87405100968571,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0,1000,,-0.025683311458507385,-0.1481083927877133,30.004304452439882,-1.229464701496856,0,36.88923321723979,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.05825500001013279,1000,,-0.02577130084396234,-0.14737386724814291,30.00672315188378,-1.2294763325666231,0,36.89255593312005,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.08457999999821186,1000,,-0.025776481144298313,-0.14823725919173655,30.005509259495078,-1.2296886063419443,0,36.89743286388881,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.14842499999701977,1000,,-0.025834787324430897,-0.1501854984320226,30.00235075368567,-1.2308020706629048,0,36.92695543239108,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.18127500000596047,1000,,-0.025775666747924975,-0.15036346407912146,30.005034560917718,-1.229549444073432,0,36.8926735637805,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.21080000001192092,1000,,-0.025758752534522644,-0.15085876516722874,30.002890523608148,-1.2290358309343197,0,36.87462748511417,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.24729500000178814,1000,,-0.02574036946786773,-0.15086444157386422,30.00154339664792,-1.2275214378394375,0,36.827537687655536,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.2769750000089407,1000,,-0.02573767739263433,-0.15084593262797477,30.005211561437914,-1.2272561166813736,0,36.82407942109335,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.3067849999964237,1000,,-0.02571390494924175,-0.15064892046550954,30.002402360019566,-1.2263762094917883,0,36.794232481928276,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.33570499999821185,1000,,-0.025748072733601135,-0.15063144149630606,30.00084488333254,-1.2261823930589868,0,36.78650777283615,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.37185999999940395,1000,,-0.02578352868410838,-0.15200300013459359,29.998572533034384,-1.2250728111298939,0,36.75043558292845,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.39726500000059606,1000,,-0.025799037573767336,-0.15228996921651766,30.00101422344444,-1.2260904946097064,0,36.78395836801583,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.42446000000834466,1000,,-0.02580395668728286,-0.1533829603340078,30.000445528932552,-1.2252468589745735,0,36.7579516521624,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.45598499999940395,1000,,-0.025761581206801,-0.15421433967108236,30.001656563089707,-1.224651792816156,0,36.7415824974424,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.4853550000041723,1000,,-0.025706606909914775,-0.15327532672011324,30.0039171593427,-1.2250406895731993,0,36.756019366778325,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.5485950000137091,1000,,-0.025624967477285876,-0.15269444741174507,30.005461359101147,-1.2260870880140062,0,36.78930874229711,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.5822249999940395,1000,,-0.025604126588258058,-0.1536816225688118,30.002929279208576,-1.2261265452878596,0,36.787388025631984,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.6453649999946356,1000,,-0.025554705511358244,-0.15423327357598374,30.001973911133195,-1.225716873455698,0,36.7739256598536,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.6779449999928474,1000,,-0.025620566663181965,-0.15503542168691076,30.00151374316711,-1.2257687719468189,0,36.774918657507556,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.7090600000023842,1000,,-0.02564572251620817,-0.15601743469578044,30.000701478565418,-1.220864314270857,0,36.626785838273456,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.7714500000029803,1000,,-0.02561933074403272,-0.15527996867244057,30.000631466466043,-1.2143161669149425,0,36.43025180738685,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.805,1000,,-0.025621248170989264,-0.15456274884459478,30.00327801684537,-1.2122633899367035,0,36.37187551791434,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.8690499999970198,1000,,-0.025606107507013587,-0.1550369642985561,30.010162760614996,-1.2082098883625352,0,36.258575398744156,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.9046149999946356,1000,,-0.025643334416901586,-0.15504788933331543,30.007993573365773,-1.2079632668291733,0,36.248553947871756,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.9357700000107289,1000,,-0.025649646647945723,-0.15457566395033207,30.0066499276009,-1.2065814911253756,0,36.20546841332184,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.9633800000101328,1000,,-0.02571078678894534,-0.15407131140581273,30.003248101534524,-1.2109163047304938,0,36.33142232102239,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
0.9994699999988079,1000,,-0.025766455280237466,-0.1532496402063801,30.000803753869207,-1.2030473853552321,0,36.09238851464778,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
1.0253400000035762,1000,,-0.025822625343419614,-0.15314283989798164,30.00265460521369,-1.1985784091226566,0,35.96053402617357,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
1.0512899999916554,1000,,-0.025836764579507787,-0.1526391343051748,30.00405376584635,-1.195591139976681,0,35.872580845829866,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
1.077265000000596,1000,,-0.025856088949504974,-0.15281528047018852,30.001415217296227,-1.1927214782300446,0,35.78333230696691,0,0,0,0,26.375,,4000,0,0,0,0,0,0.10000000000000002,0.001,0.01,0,
